arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-01-02T06:45:00,Alaska Airlines,631,11,2
D,2018-01-02T06:50:00,Delta Air Lines,5687,23,3
D,2018-01-02T06:50:00,Southwest Airlines,8604,C13,4
A,2018-01-02T06:58:00,American Airlines,693,B25,4
D,2018-01-02T07:00:00,Delta Air Lines,824,15,3
D,2018-01-02T07:00:00,Delta Air Lines,1731,19,3
D,2018-01-02T07:00:00,Delta Air Lines,1994,18,3
D,2018-01-02T07:00:00,Frontier Airlines,1442,26,3
D,2018-01-02T07:00:00,Southwest Airlines,781,C18,4
D,2018-01-02T07:00:00,Southwest Airlines,4190,C17,4
D,2018-01-02T07:05:00,Southwest Airlines,6971,C19,4
A,2018-01-02T07:05:00,Southwest Airlines,823,C13,4
D,2018-01-02T07:15:00,Delta Air Lines,5760,16,3
D,2018-01-02T07:15:00,Southwest Airlines,8622,C2,4
D,2018-01-02T07:25:00,Southwest Airlines,770,D6,4
D,2018-01-02T07:25:00,Southwest Airlines,6265,C7,4
D,2018-01-01T10:00:00,Delta Air Lines,8937,23,3
D,2018-01-02T07:30:00,United Airlines,2083,8,2
D,2018-01-02T07:30:00,American Airlines,570,B14,4
D,2018-01-02T07:30:00,Frontier Airlines,1880,25,3
D,2018-01-02T07:30:00,Hawaiian Airlines,35,24,3
A,2018-01-02T07:30:00,Southwest Airlines,2100,C6,4
D,2018-01-02T07:30:00,Southwest Airlines,8626,C1,4
A,2018-01-02T07:39:00,American Airlines,670,A9,4
A,2018-01-02T07:39:00,American Airlines,553,A5,4
A,2018-01-02T07:39:00,American Airlines,3056,B1A,4
D,2018-01-02T07:40:00,Southwest Airlines,5133,D2,4
A,2018-01-02T07:42:00,American Airlines,5837,B2,4
D,2018-01-02T07:45:00,American Airlines,549,A3,4
D,2018-01-02T07:45:00,Southwest Airlines,823,C13,4
A,2018-01-02T07:45:00,Southwest Airlines,706,C9,4
A,2018-01-02T07:47:00,American Airlines,1107,A13,4
A,2018-01-02T07:48:00,American Airlines,511,A17,4
A,2018-01-02T07:49:00,American Airlines,5823,B9,4
A,2018-01-02T07:50:00,American Airlines,5836,B24,4
D,2018-01-02T07:54:00,Delta Air Lines,1769,19,3
A,2018-01-02T07:56:00,American Airlines,1110,A25,4
A,2018-01-02T07:59:00,American Airlines,697,A22,4
D,2018-01-02T08:00:00,WestJet,1499,B23,4
D,2018-01-02T08:00:00,Delta Air Lines,1747,17,3
D,2018-01-02T08:00:00,Southwest Airlines,609,C14,4
D,2018-01-02T08:00:00,Southwest Airlines,875,D8,4
D,2018-01-02T08:00:00,Southwest Airlines,6185,C3,4
A,2018-01-02T08:03:00,American Airlines,645,A20,4
D,2018-01-02T08:05:00,Southwest Airlines,1218,C16,4
A,2018-01-02T08:05:00,Southwest Airlines,6288,C17,4
D,2018-01-02T08:10:00,American Airlines,832,A4,4
D,2018-01-02T08:10:00,American Airlines,1969,A23,4
D,2018-01-02T08:10:00,Alaska Airlines,637,10,2
A,2018-01-02T08:10:00,Southwest Airlines,6778,D4,4
D,2018-01-02T08:17:00,Delta Air Lines,5781,18,3
D,2018-01-02T08:19:00,United Airlines,656,6A,2
D,2018-01-02T08:20:00,American Airlines,1271,A13,4
D,2018-01-02T08:20:00,American Airlines,1856,A6,4
D,2018-01-02T08:25:00,American Airlines,1676,A7,4
D,2018-01-02T08:25:00,American Airlines,1709,B12,4
D,2018-01-02T08:25:00,Southwest Airlines,2100,C6,4
D,2018-01-02T08:25:00,Southwest Airlines,1881,C9,4
A,2018-01-02T08:25:00,Southwest Airlines,6909,C3,4
A,2018-01-01T10:29:00,American Airlines,9818,HGR,4
D,2018-01-02T08:30:00,American Airlines,670,A9,4
A,2018-01-02T08:30:00,American Airlines,664,A24,4
A,2018-01-02T08:30:00,Great Lakes Airlines,3031,9,2
A,2018-01-02T08:32:00,American Airlines,1650,A4,4
D,2018-01-02T08:35:00,American Airlines,465,A30,4
D,2018-01-02T08:35:00,American Airlines,690,A24,4
D,2018-01-02T08:35:00,American Airlines,5832,B2,4
D,2018-01-02T08:35:00,American Airlines,5895,B20,4
D,2018-01-02T08:35:00,Frontier Airlines,1876,20,3
A,2018-01-02T08:38:00,American Airlines,887,A2,4
A,2018-01-02T08:39:00,American Airlines,938,A14,4
D,2018-01-02T08:40:00,American Airlines,5930,B5,4
A,2018-01-02T08:40:00,Southwest Airlines,1073,C11,4
D,2018-01-02T08:42:00,American Airlines,855,A5,4
