arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-04-02T15:26:00,American Airlines,2030,A20,4
A,2018-04-02T15:27:00,Great Lakes Airlines,3032,9,2
D,2018-04-02T15:30:00,Southwest Airlines,1378,D8,4
A,2018-04-02T15:30:00,Southwest Airlines,5607,C17,4
D,2018-04-02T15:30:00,American Airlines,634,A4,4
D,2018-04-02T15:30:00,American Airlines,574,A8,4
D,2018-04-02T15:30:00,American Airlines,925,A27,4
D,2018-04-02T15:30:00,American Airlines,3052,B7,4
A,2018-04-02T15:33:00,American Airlines,711,A23,4
A,2018-04-02T15:34:00,American Airlines,1886,B24,4
D,2018-04-02T15:35:00,American Airlines,429,A18,4
D,2018-04-02T15:35:00,American Airlines,1543,B14,4
D,2018-04-02T15:35:00,American Airlines,5877,B2,4
A,2018-04-02T15:36:00,American Airlines,5853,B19,4
A,2018-04-02T15:37:00,American Airlines,589,A6,4
A,2018-04-02T15:40:00,Southwest Airlines,1172,D1,4
D,2018-04-02T15:40:00,American Airlines,1469,A30,4
D,2018-04-02T15:40:00,American Airlines,2982,B21,4
D,2018-04-01T16:30:00,Frontier Airlines,9212,25,3
A,2018-04-02T15:44:00,American Airlines,686,A11,4
D,2018-04-02T15:45:00,Southwest Airlines,1431,C19,4
D,2018-04-02T15:45:00,American Airlines,424,A21,4
D,2018-04-02T15:45:00,American Airlines,1835,A10,4
A,2018-04-02T15:45:00,American Airlines,5803,B5,4
A,2018-04-02T15:49:00,American Airlines,636,A4,4
A,2018-04-02T15:50:00,Southwest Airlines,1586,C16,4
D,2018-04-02T15:50:00,United Airlines,2424,6A,2
A,2018-04-02T15:51:00,American Airlines,695,A7,4
A,2018-04-02T15:51:00,American Airlines,3146,B1,4
D,2018-04-02T15:52:00,Frontier Airlines,1864,20,3
A,2018-04-02T15:52:00,American Airlines,5712,B7,4
A,2018-04-02T15:53:00,American Airlines,5944,A1,4
A,2018-04-02T15:55:00,American Airlines,1458,A30,4
A,2018-04-02T15:56:00,American Airlines,272,B26,4
D,2018-04-02T15:57:00,United Airlines,772,7,2
D,2018-04-02T16:00:00,Southwest Airlines,3958,D7,4
A,2018-04-02T16:00:00,Southwest Airlines,1728,C8,4
D,2018-04-02T16:00:00,Frontier Airlines,754,25,3
A,2018-04-02T16:00:00,American Airlines,3178,B18,4
A,2018-04-02T16:00:00,American Airlines,5812,B3,4
A,2018-04-02T16:01:00,Delta Air Lines,677,18,3
A,2018-04-02T16:04:00,American Airlines,1045,A25,4
A,2018-04-02T16:04:00,United Airlines,5320,5,2
D,2018-04-02T16:05:00,Southwest Airlines,5812,D6,4
D,2018-04-02T16:05:00,Southwest Airlines,6350,C9,4
A,2018-04-02T16:05:00,American Airlines,502,B28,4
A,2018-04-02T16:05:00,American Airlines,5876,B2,4
A,2018-04-02T16:05:00,Alaska Airlines,162,11,2
A,2018-04-02T16:05:00,Delta Air Lines,899,19,3
D,2018-04-02T16:08:00,United Airlines,739,6B,2
A,2018-04-02T16:08:00,American Airlines,462,A3,4
A,2018-04-02T16:10:00,Southwest Airlines,459,C14,4
D,2018-04-02T16:10:00,American Airlines,1656,A23,4
A,2018-04-02T16:10:00,American Airlines,1371,B14,4
A,2018-04-02T16:11:00,American Airlines,644,A8,4
A,2018-04-02T16:11:00,Delta Air Lines,5800,15,3
A,2018-04-02T16:15:00,Southwest Airlines,1467,C7,4
D,2018-04-02T16:20:00,Southwest Airlines,1172,D1,4
D,2018-04-02T16:20:00,Southwest Airlines,5607,C17,4
D,2018-04-02T16:20:00,American Airlines,1638,A14,4
D,2018-04-02T16:20:00,Delta Air Lines,2046,16,3
A,2018-04-02T16:25:00,Southwest Airlines,1716,C19,4
D,2018-04-03T09:55:00,American Airlines,1572,A11,4
D,2018-04-03T09:55:00,American Airlines,2771,A9,4
D,2018-04-03T09:55:00,American Airlines,3133,B15B,4
D,2018-04-03T09:55:00,American Airlines,3176,B3,4
D,2018-04-03T09:55:00,American Airlines,5884,B16,4
D,2018-04-03T09:55:00,American Airlines,5952,B18,4
A,2018-04-03T09:56:00,United Airlines,667,7,2
A,2018-04-03T09:57:00,United Airlines,5411,5,2
D,2018-04-03T09:57:00,American Airlines,3158,B17,4
D,2018-04-03T09:59:00,American Airlines,1456,A19,4
D,2018-04-03T10:00:00,American Airlines,319,A5,4
D,2018-04-03T10:00:00,American Airlines,447,A21,4
D,2018-04-03T10:00:00,American Airlines,460,A10,4
D,2018-04-03T10:00:00,American Airlines,531,A2,4
D,2018-04-03T10:00:00,American Airlines,5891,B2,4
D,2018-04-03T10:00:00,American Airlines,5948,B19,4
D,2018-04-03T10:01:00,American Airlines,3035,B20,4
D,2018-04-03T10:01:00,American Airlines,5859,B22,4
A,2018-04-03T10:05:00,Southwest Airlines,3,C3,4
A,2018-04-03T10:05:00,Southwest Airlines,1701,D1,4
D,2018-04-03T10:05:00,American Airlines,5720,B15A,4
D,2018-04-03T10:05:00,Delta Air Lines,5743,15,3
D,2018-04-03T10:05:00,Delta Air Lines,1921,19,3
D,2018-04-03T10:10:00,Southwest Airlines,1468,D7,4
D,2018-04-03T10:10:00,Southwest Airlines,1496,C9,4
D,2018-04-03T10:10:00,Southwest Airlines,1505,C7,4
D,2018-04-03T10:10:00,Southwest Airlines,1775,C16,4
D,2018-04-03T10:10:00,Southwest Airlines,1780,D2,4
D,2018-04-03T10:10:00,Southwest Airlines,1791,C17,4
A,2018-04-03T10:10:00,Southwest Airlines,946,C8,4
A,2018-04-03T10:10:00,Southwest Airlines,1810,D8,4
D,2018-04-03T10:10:00,American Airlines,817,A24,4
D,2018-04-03T10:10:00,American Airlines,475,A12,4
D,2018-04-03T10:10:00,American Airlines,534,A25,4
D,2018-04-03T10:10:00,American Airlines,669,B6,4
D,2018-04-03T10:10:00,American Airlines,6003,B21,4
A,2018-04-03T10:11:00,American Airlines,408,,4
D,2018-04-03T10:12:00,American Airlines,5909,B5,4
D,2018-04-03T10:15:00,Southwest Airlines,1416,D5,4
D,2018-04-03T10:15:00,Southwest Airlines,1689,C19,4
D,2018-04-03T10:15:00,Southwest Airlines,2076,C4,4
D,2018-04-03T10:15:00,Southwest Airlines,2118,C1,4
A,2018-04-03T10:15:00,Southwest Airlines,1347,C18,4
A,2018-04-03T10:15:00,Delta Air Lines,342,19,3
D,2018-04-03T10:15:00,Great Lakes Airlines,3036,9,2
A,2018-04-03T10:17:00,American Airlines,2063,A19,4
D,2018-04-03T10:20:00,Southwest Airlines,835,C13,4
D,2018-04-03T10:20:00,American Airlines,456,A14,4
D,2018-04-03T10:20:00,American Airlines,1468,A3,4
D,2018-04-03T10:20:00,American Airlines,1650,A6,4
D,2018-04-03T10:20:00,American Airlines,2070,A23,4
D,2018-04-02T10:45:00,Southwest Airlines,9018,C2,4
D,2018-04-03T10:25:00,American Airlines,2668,A26,4
D,2018-04-03T10:25:00,American Airlines,5906,A1,4
D,2018-04-03T10:29:00,Delta Air Lines,1546,23,3
D,2018-04-03T10:30:00,Southwest Airlines,5902,D3,4
A,2018-04-03T10:30:00,Frontier Airlines,741,20,3
D,2018-04-03T10:30:00,American Airlines,579,A7,4
D,2018-04-03T10:30:00,American Airlines,647,A4,4
D,2018-04-03T10:33:00,Delta Air Lines,2877,16,3
A,2018-04-03T10:33:00,Delta Air Lines,1874,17,3
A,2018-04-03T10:35:00,Southwest Airlines,1727,C9,4
A,2018-04-03T10:35:00,Southwest Airlines,2034,D6,4
D,2018-04-03T10:35:00,United Airlines,5435,5,2
D,2018-04-03T10:40:00,Southwest Airlines,2020,C17,4
A,2018-04-03T10:40:00,Delta Air Lines,1405,15,3
D,2018-04-03T10:40:00,American Airlines,414,B4,4
D,2018-04-03T10:40:00,American Airlines,710,A19,4
A,2018-04-03T10:41:00,United Airlines,1895,3,2
D,2018-04-03T10:45:00,Southwest Airlines,3,C3,4
A,2018-04-03T10:45:00,Southwest Airlines,239,C16,4
A,2018-04-03T10:45:00,Southwest Airlines,1970,C11,4
A,2018-04-03T10:45:00,American Airlines,1279,B26,4
D,2018-04-03T10:45:00,American Airlines,432,A29,4
D,2018-04-03T10:45:00,United Airlines,1552,8,2
